driver,lap,time_stamp,speed_kph,rpm,gear,throttle_pct,brake_pct,drs,sector,lat,long,sector_time_ms
VER,1,0.0,340.0,11583,8,0,67,0,1,45.63081081081081,9.28,0
VER,1,0.2,340.0,11410,8,0,93,0,1,45.63092905212494,9.280574057060651,0
VER,1,0.4,332.0,12354,7,0,100,0,1,45.631041328381365,9.28114739463667,0
VER,1,0.6,321.7,12156,7,0,100,0,1,45.63114468360328,9.281705821666035,0
VER,1,0.8,313.8,11893,7,0,100,0,1,45.631238468930626,9.282245101090005,0
VER,1,1.0,293.8,12500,6,0,100,0,1,45.631323457462216,9.282768644751112,0
VER,1,1.2,286.5,12399,6,0,100,0,1,45.63139685648475,9.283256071964253,0
VER,1,1.4,278.3,12309,6,0,100,0,1,45.63146240220063,9.283728614410817,0
VER,1,1.6,273.1,12120,6,0,100,0,1,45.63152006666,9.284184424100228,0
VER,1,1.8,255.3,11543,6,0,100,0,1,45.63157064531051,9.284628219918396,0
VER,1,2.0,251.9,12500,5,0,100,0,1,45.63161235975338,9.28503985600593,0
VER,1,2.2,234.5,12252,5,0,100,0,1,45.631648038175605,9.28544243564028,0
VER,1,2.4,231.8,12182,5,0,100,0,1,45.6316762216886,9.285813901331053,0
VER,1,2.6,228.1,12098,5,0,100,0,1,45.63169918266848,9.286177774644116,0
VER,1,2.8,213.7,11673,5,0,100,0,1,45.63171690050074,9.286532366549427,0
VER,1,3.0,205.4,12500,4,0,90,0,1,45.631729009532044,9.286861182135798,0
VER,1,3.2,200.7,12500,4,0,91,0,1,45.63173647770622,9.287174108139624,0
VER,1,3.4,199.9,12500,4,0,100,0,1,45.631739754336444,9.287476745087124,0
VER,1,3.6,191.4,12307,4,0,90,0,1,45.63173900373843,9.287774997714955,0
VER,1,3.8,182.7,12154,4,0,74,0,1,45.63173447777744,9.288057374536432,0
VER,1,4.0,181.7,12051,4,0,86,0,1,45.63172663563324,9.28832405321279,0
VER,1,4.2,178.7,12042,4,0,91,0,1,45.6317153880316,9.288586289894695,0
VER,1,4.4,173.7,11846,4,0,87,0,1,45.6317009339712,9.288841288465228,0
VER,1,4.6,166.7,12500,3,0,75,0,1,45.631683630189734,9.289086292625537,0
VER,1,4.8,164.0,12500,3,0,78,0,1,45.6316639899117,9.289318612404468,0
VER,1,5.0,158.1,12500,3,0,69,0,1,45.631641742893784,9.289544488865802,0
VER,1,5.2,154.8,12500,3,0,69,0,1,45.631617518645896,9.28975978464864,0
VER,1,5.4,151.1,12497,3,0,67,0,1,45.631591165013624,9.289968005821587,0
VER,1,5.6,146.7,12439,3,0,62,0,1,45.63156290925151,9.290168802340272,0
VER,1,5.8,143.4,12364,3,0,50,0,1,45.631533061548936,9.29036147469957,0
VER,1,6.0,143.9,12403,3,0,62,0,1,45.63150158267775,9.290547566759532,0
VER,1,6.2,138.2,12171,3,0,51,0,1,45.631467717563176,9.290731939281894,0
VER,1,6.4,137.4,12057,3,0,57,0,1,45.63143302791137,9.29090682861445,0
VER,1,6.6,136.1,12119,3,0,62,0,1,45.63139642653106,9.291078578388776,0
VER,1,6.8,128.8,11785,3,0,34,0,1,45.631358097341945,9.291246555622532,0
VER,1,7.0,130.7,11820,3,0,49,0,1,45.63131992909509,9.291403497628728,0
VER,1,7.2,124.1,12500,2,0,32,0,1,45.63127932164826,9.291560690943351,0
VER,1,7.4,127.9,11691,3,0,46,0,1,45.631238983025405,9.29170812517686,0
VER,1,7.6,125.8,12500,2,0,46,0,1,45.63119561890656,9.291858099739045,0
VER,1,7.8,121.0,12500,2,0,33,0,1,45.631151186533586,9.292003667714337,0
VER,1,8.0,119.0,12500,2,93,0,0,1,45.63110682322596,9.292141727968518,0
VER,1,8.2,121.6,12500,2,43,0,0,1,45.63106160087931,9.292275749040238,0
VER,1,8.4,116.5,12500,2,96,0,0,1,45.63101375942701,9.292410885334112,0
VER,1,8.6,118.3,12500,2,90,0,0,1,45.63096640796993,9.292538545203973,0
VER,1,8.8,115.1,12500,2,96,0,0,1,45.63091680999692,9.292666357031552,0
VER,1,9.0,113.3,12500,2,97,0,0,1,45.63086706044941,9.292789019009186,0
VER,1,9.2,112.9,12500,2,98,0,0,1,45.63081670409936,9.292907999850293,0
VER,1,9.4,109.1,12500,2,100,0,0,1,45.63076512744055,9.29302489749872,0
VER,1,9.6,127.0,11725,3,0,22,0,1,45.63071399093729,9.29313621604973,0
VER,1,9.8,127.0,11710,3,0,22,0,1,45.63065282872321,9.293263832375922,0
VER,1,10.0,124.0,12500,2,53,0,0,1,45.63058997551819,9.29338919489986,0
VER,1,10.2,122.1,12500,2,55,0,0,1,45.63052691161034,9.293509552509649,0
VER,1,10.4,124.8,12500,2,46,0,0,1,45.63046324584405,9.293625964208383,0
VER,1,10.6,121.8,12500,2,58,0,0,1,45.630396551070255,9.293742826728554,0
VER,1,10.8,122.5,12500,2,41,0,0,1,45.630329915534475,9.29385475483076,0
VER,1,11.0,121.9,12500,2,47,0,0,1,45.63026136593177,9.29396520720078,0
VER,1,11.2,119.7,12500,2,49,0,0,1,45.63019160952331,9.29407304606339,0
VER,1,11.4,118.3,12500,2,40,0,0,1,45.6301216417223,9.294176891301397,0
VER,1,11.6,118.4,12500,2,52,0,0,1,45.63005106727102,9.294277526331472,0
VER,1,11.8,116.0,12500,2,55,0,0,1,45.62997902850012,9.294376247603966,0
VER,1,12.0,120.3,12500,2,40,0,0,1,45.62990708843377,9.29447103322011,0
VER,1,12.2,121.9,12500,2,46,0,0,1,45.629831129148066,9.294567227094442,0
VER,1,12.4,116.8,12500,2,59,0,0,1,45.6297527090194,9.294662583113936,0
VER,1,12.6,119.9,12500,2,49,0,0,1,45.62967626356573,9.29475188312838,0
VER,1,12.8,121.4,12500,2,56,0,0,1,45.629596434810715,9.294841489713846,0
VER,1,13.0,115.8,12500,2,93,0,0,1,45.62951421870537,9.29493008532644,0
VER,1,13.2,116.3,12500,2,94,0,0,1,45.62943454734792,9.295012546651655,0
